what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174747104
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174754543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174754554
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174754897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174755115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174757443
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174760719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174760746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174763624
started,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1400174768296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174770852
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174770886
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174773749
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174779570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174779620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174780162
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174781154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174782882
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174788960
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174788986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174793271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174801223
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174801252
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174801808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174806819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174813875
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1400174824867
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1400174825062
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1400174825239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174829847
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174829924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174830500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174832291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174834100
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174846964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1400174846992
started,bundle,org.eclipse.xsd,2.6.0.v20100914-1218,"org.eclipse.xsd",1400174852195
started,bundle,org.eclipse.wst.xml.ui,1.1.102.v201008251905,"org.eclipse.wst.xml.ui",1400174858850
started,bundle,org.jboss.tools.common.text.xml,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.text.xml",1400174858928
started,bundle,org.jboss.tools.common.gef,3.1.0.v20110215-1235-H25-GA,"org.jboss.tools.common.gef",1400174859166
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1400174859229
started,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.0.v20110215-1251-H28-GA,"org.jboss.tools.jst.web.tiles.ui",1400174859273
started,bundle,org.hibernate.eclipse.mapper,3.4.0.v20110215-1252-H31-GA,"org.hibernate.eclipse.mapper",1400174861033
started,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20110216-1758-H51-GA,"org.jboss.ide.eclipse.as.ui.mbeans",1400174861034
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1400174861739
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1400174862954
started,bundle,org.eclipse.wst.xsl.ui,1.1.1.v201009091745,"org.eclipse.wst.xsl.ui",1400174863174
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1400174863439
opened,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1400174865358
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1400174865507
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1400174867505
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1400174867700
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1400174867803
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400174873660
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400174877413
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1400174879822
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400174890461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174905386
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1400174915799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400174918031
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1400174918041
activated,editor,org.jboss.tools.common.model.ui,3.2.0.v20110215-1235-H25-GA,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1400174949289
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1400174951385
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1400174951385
